Fortune	Bark	5	61	148
Forward	Schooner	1	7	1
Frances A. Barstow	Brig	8	151	35
Frances Henrietta	Bark	1	35	43
Frances Henrietta	Brig	1	26	0
Frances Henrietta	Ship	4	20	130
Frances II	Bark	4	111	5
Frances II	Ship	1	23	1
Frances	Brig	1	18	1
Frances	Schooner	6	116	9
Frances	Ship	3	57	62
Francis Allyn	Schooner	6	105	6
Francis Allyn	Schr	7	102	34
Francis Allyn	Steam Schooner	1	23	1
Francis	Ship	2	44	2
Franklin	Bark	7	81	173
Franklin	Schooner	21	333	20
Franklin	Schr	8	95	33
Franklin	Ship	6	33	195
Free Gift	Schooner	1	12	1
Friends	Bark	2	60	2
Friends	Ship	8	253	7
Friendship	Bark	1	29	1
Friendship	Ship	3	29	68
Galatea	Ship	3	62	3
Ganges	ship	2	54	2
Garland 	Schooner	1	5	1
Garland	Bark	1	3	61
Garland	Ship	4	37	62
Gasp????	Schr	1	0	25
Gay Head I	Bark	1	31	1
Gay Head I	Ship	4	86	68
Gay Head II	Bark	5	151	5
Gazelle	Bark	3	79	14
Gazelle	Ship	3	84	37
General Pike	Bark	5	135	6
General Pike	Ship	6	100	202
General Scott	Bark	5	149	72
General Scott	Ship	8	186	97
General Williams	Ship	9	317	9
George and Martha	Bark	2	50	2
George and Martha	Ship	12	254	42
George and Mary	Bark	18	352	115
George and Mary	Ship	5	153	5
George and Susan	Bark	6	184	6
George and Susan	Ship	15	305	205
George Henry	Bark	4	97	4
George Howland	Bark	1	30	0
George Howland	Ship	7	105	167
George J. Jones	Brig	1	20	0
George J. Jones	Schr	2	43	2
George Porter	Bark	2	22	57
George Porter	Brig	1	43	1
George Porter	Ship	7	199	7
George Washington	Bark	6	31	169
George Washington	Ship	10	222	234
George	Bark	5	91	74
George	Ship	14	169	209
Georgia	Ship	9	259	9
Georgiana	Brig	9	167	7
Gideon Howland	Ship	6	35	189
Glacier	Bark	2	46	2
Glacier	Schr	2	32	25
Gladiator	Ship	1	1	33
Gleaner	Brig	2	29	2
Glendower	Bark	1	15	1
Globe	Bark	6	114	84
Globe	Ship	2	66	40
Golconda II	Ship	2	79	129
Golconda	Bark	5	109	8
Golconda	Ship	6	59	163
Gold Hunter	ship	8	119	32
Golden City	Schr	18	267	33
Golden West	Schooner	10	164	10
Good Return II	Ship	12	302	178
Governor Carver	Bark	9	140	127
Governor Endicott	Bark	2	51	2
Governor Hopkins	Brig	5	12	74
Governor Troup	Ship	9	144	224
Graduate	Schr	2	30	2
Grand Turk	Schr	1	22	0
Grand Turk	Ship	8	182	34
Gratitude	Bark	3	46	65
Gratitude	Ship	5	30	168
Greyhound	Bark	21	366	170
Gypsy	Bark	4	85	101
Hadley	Bark 	1	21	1
Hadley	Bark	3	69	3
Halcyon	Bark	2	52	1
Halcyon	Ship	1	52	2
Hamilton	Bark	1	0	22
Hancox	Schooner	2	7	28
Hand	Schooner	4	42	2
Hannah Brewer	Bark	2	45	0
Hannibal	Ship	7	220	4
Harbinger	Ship	4	0	96
Harriet	bark	1	1	0
Harriet	Schooner	1	20	0
Harrison	Ship	5	57	126
Harvest 	Ship	1	25	4
Harvest	Bark	10	121	253
Harvest	Ship	1	0	23
Hattie E. Smith	Schr	4	80	4
Hecla	Bark	8	107	115
Hecla	Ship	1	20	0
Hector	Ship	10	168	187
Helen F.	Schooner	3	32	3
Helen Mar	Bark	4	87	72
Helen Snow	Bark	6	79	114
Helen	Brig	2	20	69
Helvetia	Ship	2	61	2
Helvetius	Ship	1	31	1
Heman Smith	Brig	2	38	6
Henrietta	Schooner	1	17	1
Henry H. Crapo	Bark	2	0	49
Henry Kneeland	Ship	6	80	156
Henry Taber	Bark	5	143	36
Henry Thompson	Ship	3	85	3
Henry	Bark	2	47	1
Henry	Brig	3	41	3
Herald II	Bark	1	28	1
Herald II	Ship	7	192	139
Herald	Brig 	1	20	1
Herald	Brig	4	86	2
Herald	Ship	20	338	185
Hercules II	Bark	1	24	1
Hercules II	Ship	4	86	61
Hercules	Bark	7	190	85
Hercules	Ship	7	95	118
Heroine	Ship	10	143	166
Hersilia II	Brig	1	20	1
Hesper	Bark	4	43	120
Hesper	Ship	3	32	32
Hiawatha	Ship	1	32	38
Hibernia II	Ship	5	156	74
Hibernia	Ship	8	52	197
Hillman	Ship	4	65	95
Hobomok	Ship	1	7	1
Holder Borden	ship	1	29	25
Homer	Brig	1	18	3
Hope II	Ship	5	120	120
Hope On	Bark	2	42	2
Hope	Bark	8	45	182
Hope	Ship	2	52	2
Hopeton	Brig	4	80	29
Horatio	Bark	1	3	32
Horatio	Ship	3	99	3
Houqua	Ship	4	35	151
Hudson	Ship	2	56	33
Hunter	Bark	3	86	3
Hunter	Ship	5	88	70
Huntress	Bark	2	60	65
Huntress	Ship	5	31	140
Hydaspe	Bark	4	63	54
Hydaspe	Schr	1	22	0
Hydaspe	Ship	10	206	113
Illinois	Bark	1	34	1
Illinois	Ship	4	58	66
Independence	Ship	3	64	3
India	Ship	12	281	208
Indian Chief	Brig	2	26	2
Indian Chief	Ship	8	272	11
Industry	Brig	15	212	17
Inez	Ship	1	31	1
Inga	Brig	7	69	121
Ionia II	Bark	1	26	1
Ionia	Bark	3	21	46
Iowa	Bark	3	24	62
Iris	Bark	3	74	3
Iris	Ship	8	57	163
Irving	Schr	2	31	2
Isaac Hicks	Ship	5	159	4
Isaac Howland	Ship	9	123	169
Isabella ?	Schr	1	26	1
Isabella	Bark	5	83	97
Isabella	Brig	10	195	27
Isabella	Ship	5	53	107
Islander	Bark	3	80	28
Israel	Ship	3	1	108
Izaak Walton	Ship	1	33	1
Izette	Ship	6	119	53
J. D. Thompson	Bark	4	119	77
J. E. Donnell	Bark	4	32	167
Jacob A. Howland	Bark	2	64	2
James Allen II	Bark	3	96	3
James Allen	Bark	3	87	6
James Allen	Ship	4	36	126
James Andrews	Bark	2	0	53
James Arnold	Ship	12	265	142
James Edward	Ship	2	31	80
James Maury	Bark	1	33	1
James Maury	Ship	8	207	142
James Munroe (Monroe)	Ship	2	65	67
James Munroe	Brig	1	14	1
James	Schr	9	107	92
Jane	bark	2	44	6
Janet	Bark	11	159	104
Janus II	Bark	4	119	5
Janus II	Ship	8	217	160
Japan	Ship	2	59	37
Jason	Bark	1	30	1
Jason	Ship	6	158	6
Jasper	Bark	6	48	112
Jasper	Ship	2	28	4
Java II or 1872	Bark	1	18	4
Java II	Bark	5	108	20
Java II	Ship	7	140	171
Java	Bark	7	176	36
Java	Ship	5	51	124
Jeannette	Ship	6	32	192
Jefferson	Ship	5	151	4
Jireh Perry	Bark	1	31	1
Jireh Perry	Ship	8	210	71
Jireh Swift	Bark	2	54	37
Jireh Swift	Ship	1	0	26
John A. Parker	Bark	2	23	52
John A. Robb	Bark	4	24	121
John Adams II	Ship	1	23	1
John Adams	Bark	1	24	0
John Adams	Ship	1	14	26
John and Edward	Ship	11	180	132
John and Elizabeth	Bark	2	58	1
John and Elizabeth	Ship	6	176	6
John and Winthrop	Bark	3	91	3
John Carver	Bark	5	136	5
John Coggeshall	Ship	4	50	98
John Dawson	Bark	9	191	58
John Dawson	Ship	1	20	3
